"PHEC_result_ID","PHEC_result_groups_ID","result_groups_approval_status","result_groups_capacity","result_groups_description","result_groups_display_name","result_groups_id","result_groups_image_display_url","result_groups_image_url","result_groups_is_organization","result_groups_name","result_groups_revision_id","result_groups_state","result_groups_title","result_groups_type"
"181","175","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"182","176","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"183","177","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"184","178","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"185","179","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"186","180","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"187","181","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"202","182","approved","member","The Adult Social Care Outcomes Framework (ASCOF) has been published annually since 2010-11, and draws on data from a number of collections. The ASCOF Handbook of Definitions, published by the Department of Health, provides in-depth information on the purpose of the framework, the construction of the constituent measures, and context for their interpretation. The ASCOF is used both locally and nationally to set priorities for care and support, measure progress and strengthen transparency and accountability.","ASCOF","764b19bb-ae8d-4967-a446-16600b29b709","","","False","ascof","1f550aa8-78c2-42a8-971e-de442e73460f","active","ASCOF","group"
"202","183","approved","member","","Outcomes","32cbba1b-60eb-4147-80e2-117fbf079fa4","","","False","outcomes","fca29c74-2fe1-4d28-8c80-997438a32ff3","active","Outcomes","group"
"207","184","approved","member","Daily Situation Reports (SITREPs) are collected from acute trusts each weekday and indicate where there are any winter pressures on the service around the country such as A&E closures, cancelled operations, bed pressures, or ambulance delays. Daily Flu highlights the number of patients with confirmed or suspected influenza in critical care beds at 8am.","Winter Daily Situation Reports","8b8b242b-1e07-4f28-96e6-6d7daaf497e0","","","False","winter","1b26a822-12a5-4396-8b91-3c09633f72b8","active","Winter Daily Situation Reports","group"
"208","185","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"208","186","approved","member","Daily Situation Reports (SITREPs) are collected from acute trusts each weekday and indicate where there are any winter pressures on the service around the country such as A&E closures, cancelled operations, bed pressures, or ambulance delays. Daily Flu highlights the number of patients with confirmed or suspected influenza in critical care beds at 8am.","Winter Daily Situation Reports","8b8b242b-1e07-4f28-96e6-6d7daaf497e0","","","False","winter","1b26a822-12a5-4396-8b91-3c09633f72b8","active","Winter Daily Situation Reports","group"
"209","187","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"209","188","approved","member","Daily Situation Reports (SITREPs) are collected from acute trusts each weekday and indicate where there are any winter pressures on the service around the country such as A&E closures, cancelled operations, bed pressures, or ambulance delays. Daily Flu highlights the number of patients with confirmed or suspected influenza in critical care beds at 8am.","Winter Daily Situation Reports","8b8b242b-1e07-4f28-96e6-6d7daaf497e0","","","False","winter","1b26a822-12a5-4396-8b91-3c09633f72b8","active","Winter Daily Situation Reports","group"
"210","189","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"210","190","approved","member","Daily Situation Reports (SITREPs) are collected from acute trusts each weekday and indicate where there are any winter pressures on the service around the country such as A&E closures, cancelled operations, bed pressures, or ambulance delays. Daily Flu highlights the number of patients with confirmed or suspected influenza in critical care beds at 8am.","Winter Daily Situation Reports","8b8b242b-1e07-4f28-96e6-6d7daaf497e0","","","False","winter","1b26a822-12a5-4396-8b91-3c09633f72b8","active","Winter Daily Situation Reports","group"
"211","191","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"211","192","approved","member","This section of the website provides information on the number and proportion of admitted adult patients in England who have been risk assessed for VTE.","Venous Thromboembolism (VTE) Risk Assessment","ffbfe01c-9a08-4c9c-8007-8bcc4aa540cf","","","False","vte","29b72225-18d7-4fdb-a0b0-3c2147ebb2ca","active","Venous Thromboembolism (VTE) Risk Assessment","group"
"212","193","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"212","194","approved","member","This section of the website provides information on the number and proportion of admitted adult patients in England who have been risk assessed for VTE.","Venous Thromboembolism (VTE) Risk Assessment","ffbfe01c-9a08-4c9c-8007-8bcc4aa540cf","","","False","vte","29b72225-18d7-4fdb-a0b0-3c2147ebb2ca","active","Venous Thromboembolism (VTE) Risk Assessment","group"
"213","195","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"213","196","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"214","197","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"214","198","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"215","199","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"215","200","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"216","201","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"216","202","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"217","203","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"217","204","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"218","205","approved","member","The NHS Operating Framework for 2012-2013 confirmed that all providers of NHS funded care are expected to eliminate mixed-sex accommodation, except where it is in the overall best interest of the patient.","Mixed-Sex Accommodation Data","9fab9b80-8745-433b-8ba1-8efa729c742d","","","False","msa","084979cd-1d6c-4027-83e1-e946764fa07a","active","Mixed-Sex Accommodation Data","group"
"219","206","approved","member","The monthly diagnostics collection collects data on waiting times and activity for 15 key diagnostic tests and procedures.","Monthly Diagnostic Waiting Times and Activity","a1aaa260-eb9b-44cd-8a54-1ddff7cc52a5","","","False","mdd","644c6372-e998-4e86-9867-246d573377a1","active","Monthly Diagnostic Waiting Times and Activity","group"
"220","207","approved","member","The monthly diagnostics collection collects data on waiting times and activity for 15 key diagnostic tests and procedures.","Monthly Diagnostic Waiting Times and Activity","a1aaa260-eb9b-44cd-8a54-1ddff7cc52a5","","","False","mdd","644c6372-e998-4e86-9867-246d573377a1","active","Monthly Diagnostic Waiting Times and Activity","group"
"221","208","approved","member","The monthly diagnostics collection collects data on waiting times and activity for 15 key diagnostic tests and procedures.","Monthly Diagnostic Waiting Times and Activity","a1aaa260-eb9b-44cd-8a54-1ddff7cc52a5","","","False","mdd","644c6372-e998-4e86-9867-246d573377a1","active","Monthly Diagnostic Waiting Times and Activity","group"
"222","209","approved","member","Statistics and information on Direct Access Audiology. This section holds data on the number of referral to treatment (RTT) completed pathways and incomplete pathways for Direct Access Audiology.","Direct Access Audiology","baf5199d-f745-47e5-a93e-24da268f31fd","","","False","direct_access_audiology","491834da-34c2-4bbc-a02e-0c96c030e053","active","Direct Access Audiology","group"
"223","210","approved","member","Statistics and information on Direct Access Audiology. This section holds data on the number of referral to treatment (RTT) completed pathways and incomplete pathways for Direct Access Audiology.","Direct Access Audiology","baf5199d-f745-47e5-a93e-24da268f31fd","","","False","direct_access_audiology","491834da-34c2-4bbc-a02e-0c96c030e053","active","Direct Access Audiology","group"
"224","211","approved","member","Statistics and information on Direct Access Audiology. This section holds data on the number of referral to treatment (RTT) completed pathways and incomplete pathways for Direct Access Audiology.","Direct Access Audiology","baf5199d-f745-47e5-a93e-24da268f31fd","","","False","direct_access_audiology","491834da-34c2-4bbc-a02e-0c96c030e053","active","Direct Access Audiology","group"
"225","212","approved","member","The Diagnostic Imaging Dataset (DID) is a new central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local Radiology Information Systems (RISs) and submitted monthly.","Diagnostic Imaging Dataset","b8fad09a-c56e-4e7f-8e6b-18adf3ed2ec6","","","False","did","915c9136-b3a1-4684-90ea-b6431a5d6e57","active","Diagnostic Imaging Dataset","group"
"225","213","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"226","214","approved","member","The Diagnostic Imaging Dataset (DID) is a new central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local Radiology Information Systems (RISs) and submitted monthly.","Diagnostic Imaging Dataset","b8fad09a-c56e-4e7f-8e6b-18adf3ed2ec6","","","False","did","915c9136-b3a1-4684-90ea-b6431a5d6e57","active","Diagnostic Imaging Dataset","group"
"226","215","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"227","216","approved","member","The Diagnostic Imaging Dataset (DID) is a new central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local Radiology Information Systems (RISs) and submitted monthly.","Diagnostic Imaging Dataset","b8fad09a-c56e-4e7f-8e6b-18adf3ed2ec6","","","False","did","915c9136-b3a1-4684-90ea-b6431a5d6e57","active","Diagnostic Imaging Dataset","group"
"227","217","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"228","218","approved","member","The Diagnostic Imaging Dataset (DID) is a new central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local Radiology Information Systems (RISs) and submitted monthly.","Diagnostic Imaging Dataset","b8fad09a-c56e-4e7f-8e6b-18adf3ed2ec6","","","False","did","915c9136-b3a1-4684-90ea-b6431a5d6e57","active","Diagnostic Imaging Dataset","group"
"229","219","approved","member","The Diagnostic Imaging Dataset (DID) is a new central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local Radiology Information Systems (RISs) and submitted monthly.","Diagnostic Imaging Dataset","b8fad09a-c56e-4e7f-8e6b-18adf3ed2ec6","","","False","did","915c9136-b3a1-4684-90ea-b6431a5d6e57","active","Diagnostic Imaging Dataset","group"
"229","220","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"230","221","approved","member","Information on Dementia Assessment and Referral data collection which has been made mandatory since April 2013 for all NHS funded trusts providing acute services.","Dementia Assessment and Referral","672c1c43-d1a7-4de9-8dba-5a303889696a","","","False","dementia","24ec899c-2722-473c-9795-669acb16fff6","active","Dementia Assessment and Referral","group"
"230","222","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"231","223","approved","member","The Monthly Situation Report collects data on the number of patients delayed on the last Thursday of each month and the total delayed days during the month for all patients delayed throughout the month.","Delayed Transfers of Care","eb14c448-0b85-41d6-b575-206e4c126feb","","","False","delayed_transfer","5da8e640-26c8-4825-9288-40799da188d8","active","Delayed Transfers of Care","group"
"232","224","approved","member","The Monthly Situation Report collects data on the number of patients delayed on the last Thursday of each month and the total delayed days during the month for all patients delayed throughout the month.","Delayed Transfers of Care","eb14c448-0b85-41d6-b575-206e4c126feb","","","False","delayed_transfer","5da8e640-26c8-4825-9288-40799da188d8","active","Delayed Transfers of Care","group"
"233","225","approved","member","The Monthly Situation Report collects data on the number of patients delayed on the last Thursday of each month and the total delayed days during the month for all patients delayed throughout the month.","Delayed Transfers of Care","eb14c448-0b85-41d6-b575-206e4c126feb","","","False","delayed_transfer","5da8e640-26c8-4825-9288-40799da188d8","active","Delayed Transfers of Care","group"
"234","226","approved","member","This section of the website provides information on the waiting times of people referred by their GP with suspected cancer or breast symptoms and those subsequently diagnosed with and treated for cancer by the NHS in England.","Cancer waiting times","2d10b444-1584-4c1d-8394-35e4a5b3c601","","","False","cwt","48e69d65-b3b0-48d4-9cb6-91b0a8440634","active","Cancer waiting times","group"
"235","227","approved","member","This section of the website provides information on the waiting times of people referred by their GP with suspected cancer or breast symptoms and those subsequently diagnosed with and treated for cancer by the NHS in England.","Cancer waiting times","2d10b444-1584-4c1d-8394-35e4a5b3c601","","","False","cwt","48e69d65-b3b0-48d4-9cb6-91b0a8440634","active","Cancer waiting times","group"
"236","228","approved","member","his quarterly collection reports on the immunisation coverage for three cohort age groups; 12 months, 24 months and 5 years.  Please note that these are experimental management information.","Child Immunisation","3112f264-dd53-407e-9915-9d48047c6868","","","False","child_immunisation","c5fe9d02-be5f-482e-b83e-5cba389c9238","active","Child Immunisation","group"
"236","229","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"237","230","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"237","231","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"238","232","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"238","233","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"239","234","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"239","235","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"240","236","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"240","237","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"241","238","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"241","239","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"242","240","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"242","241","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"243","242","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"243","243","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"244","244","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"244","245","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"245","246","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"245","247","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"246","248","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"246","249","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"247","250","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"247","251","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"248","252","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"248","253","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"249","254","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
"249","255","approved","member","Datasets from the NHS England Statistical Work Areas","Statistics","58577baf-1467-439e-aa44-9456d8aba9f4","","","False","statistics","6a8634b7-667d-413d-b8d2-f58fa237b35d","active","Statistics","group"
"250","256","approved","member","Statistics and information on Cancelled Elective Operations. This section holds data on the number of cancelled elective operations and breaches of the standard. Data is also available on the total number of operating theatres and those which are dedicated day case theatres.","Cancelled Elective Operations Data","a9bd6d6c-b2ed-4e1e-ab1a-f7b2353f6860","","","False","ceo","ecebad85-541d-4829-bd9d-a3b1ac2f4d21","active","Cancelled Elective Operations Data","group"
