"PHEC_result_ID","title","summary","date_range","source","publication_date","id","information_types","topics"
"704","Monthly NHS Hospital and Community Health Service (HCHS) Workforce Statistics in England - Quarterly supplemental information, April 2011, Provisional Experimental statistics","\n As part of the regular monthly NHS workforce publications there are a series of quarterly supplemental publications. The series of quarterly supplemental publications are published in January, April, July and October of each year starting in January 2011. The aim is to provide additional granularity at organisational level, explore the data to indicate data quality issues and to also highlight areas of interest. Below are the quarterly publications for NHS Hospital and Community Health Service (HCHS) for April 2011. \n Clarification added 12 January 2012: As expected with provisional statistics, some figures may be revised from month to month as issues are uncovered and resolved. No refreshes of the provisional data will take place either as part of the regular publication process, or where minor enhancements to the methodology have an insignificant impact on the figures at a national level. However, the provisional status allows for this to occur if it is determined that a refresh of data is required subsequent to initial release. Where a refresh of data occurs, it will be clearly documented in the publications. If you have questions, contact the NHS IC workforce team at  enquiries@ic.nhs.uk  to ensure you are using the latest revised figures for your analysis.","September 30, 2009 to April 30, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7098","July 21, 2011","7098","Official statistics","Workforce"
"705","Monthly NHS Hospital and Community Health Service (HCHS) Workforce Statistics - England, Quarterly supplemental information, January 2011, Provisional Experimental statistics","\n As part of the regular monthly NHS workforce publications there are a series of quarterly supplemental publications. The series of quarterly supplemental publications are published in January, April, July and October of each year starting in January 2011. The aim is to provide additional granularity at organisational level, explore the data to indicate data quality issues and to also highlight areas of interest. Below are the quarterly publications for NHS Hospital and Community Health Service (HCHS) for January 2011. \n Clarification added 12 January 2012: As expected with provisional statistics, some figures may be revised from month to month as issues are uncovered and resolved. No refreshes of the provisional data will take place either as part of the regular publication process, or where minor enhancements to the methodology have an insignificant impact on the figures at a national level. However, the provisional status allows for this to occur if it is determined that a refresh of data is required subsequent to initial release. Where a refresh of data occurs, it will be clearly documented in the publications. \n Please note:  revisions were made on 12 January 2012 to Table 3 of the Organisation staff totals tables published 21 April 2011, to correct non-medical staff totals for organisations. Revised figures are shown in red in Table 3, no other figures in table 3 or the other tables are affected. The NHS IC apologises for any inconvenience caused. If you have questions, contact the NHS IC workforce team at  enquiries@ic.nhs.uk  to ensure you are using the latest revised figures for your analysis.","September 30, 2009 to January 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7099","April 21, 2011","7099","Official statistics","Workforce"
"706","Monthly NHS Hospital and Community Health Service (HCHS) Workforce Statistics in England - Quarterly supplemental information, October 2010, Provisional Experimental statistics","\n As part of the regular monthly NHS workforce publications there are a series of quarterly supplemental publications. The series of quarterly supplemental publications are published in January, April, July and October of each year starting in January 2011. The aim is to provide additional granularity at organisational level, explore the data to indicate data quality issues and to also highlight areas of interest. Below are the quarterly publications for NHS Hospital and Community Health Service (HCHS) for October 2010. \n Clarification added 12 January 2012: As expected with provisional statistics, some figures may be revised from month to month as issues are uncovered and resolved. No refreshes of the provisional data will take place either as part of the regular publication process, or where minor enhancements to the methodology have an insignificant impact on the figures at a national level. However, the provisional status allows for this to occur if it is determined that a refresh of data is required subsequent to initial release. Where a refresh of data occurs, it will be clearly documented in the publications. \n If you have questions, contact the NHS IC workforce team at  enquiries@ic.nhs.uk  to ensure you are using the latest revised figures for your analysis.","September 30, 2009 to October 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=7100","January 25, 2011","7100","Official statistics","Workforce"
"707","Mental health of children and young people in Great Britain, 2004","\n \n ISBN Reference : 1-4039-8637-1  \n Summary \n This report first describes the prevalence of mental disorders among 5- to 16-year olds in 2004 and notes any changes since the previous survey in 1999. It then provides profiles of children in each of the main disorder categories (emotional, conduct, hyperkinetic and autistic spectrum disorders) and , where the sample size permits, profiles subgroups within these categories. The final chapters examine the characteristics of children with multiple disorders and present a selection of analyses for Scotland. Causal relationships should not be assumed for any of the results presented in this report.","January 01, 2004 to December 31, 2004","http://content.digital.nhs.uk/searchcatalogue?productid=7124","August 31, 2005","7124","Survey|0/Official statistics","Mental health"
"708","Monthly NHS Hospital and Community Health Service (HCHS) Workforce Statistics in England - January 2012, Provisional Statistics","\n Note: the ?SHA tables&#39; Excel file was updated at 4pm on 24 April to include corrected SHA names in the titles for each sheet. The figures are correct and have not changed. We apologise for the inconvenience caused. \n Provisional monthly figures for headcount, full time equivalent, role count and turnover of NHS Hospital and Community Health Service (HCHS) staff groups working in England (excluding primary care staff). \n This is the fifth in a series of quarterly supplemental publications. The aim is to provide additional granularity at organisational level, explore the data to indicate data quality issues and to also highlight areas of interest.  \n The additional information available this month includes:  \n \n Organisation staff group tables that include organisational level totals, medical grades by organisation and non-medical staff groups by organisation; \n Turnover by organisation and a timeseries of quarterly turnover;  \n Redundancy figures at a national level.  \n As expected with provisional statistics some figures may be revised from month to month as issues are uncovered and resolved. No refreshes of the provisional data will take place either as part of the regular publication process or where minor enhancements to the methodology have an insignificant impact on the figures at a national level. However, the provisional status allows for this to occur if it is determined that a refresh of data is required subsequent to initial release. Where a refresh of data occurs, it will be clearly documented in the publications.  \n The HSCIC publishes these figures monthly. We welcome feedback on the methodology and tables in this publication, which you can submit using the feedback form above.","September 30, 2009 to January 31, 2012","http://content.digital.nhs.uk/searchcatalogue?productid=7129","April 24, 2012","7129","Official statistics","Workforce"
"709","National Diabetes Audit - 2006-07, Audit analysis: Primary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2006 to March 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=7131","December 01, 2008","7131","Audit","Illnesses and conditions"
"710","Primary Care Trust Prescribing Data - October to December 2011","This release contains data for the quarters April - June 2008 to October to December 2011. Other quarters will be added subsequently. \n Note that there have been changes to PCTs from 1 April 2010. In some cases these are minor changes to names. In such cases the earlier name will be retained for consistency. The PCTs East and North Hertfordshire and West Hertfordshire have merged to form Hertfordshire. Solihull PCT gave up its Care Trust status and changed its PCT code in May 2011 and so there will be a discontinutiy in data between quarters before April 2011 and subsequent data. Some prescriptions will continue to appear for the old PCTs for up to 6 months as prescriptions are valid for that period. \n The data is being made available via NHS iView which will allow users to manipulate and extract data. To use NHS iView you will need to create an account. \n \n Go to NHS iView to see the data \n \n Read the iView Prescribing user guide \n In line with the Making Public Data Public initiative, the data for October to December 2011 is also being made available as a comma separated variable (csv) file. The structure of the file is: \n Quarter \n PCT code \n PCT Name \n BNF section code \n BNF section name \n Items \n Actual Cost \n Net Ingredient Cost  \n Note that the file has column headings and that this is as extracted from ePACT (service provided by Prescription Services) and no changes have been made. It therefore differs from the NHS iView product. ","October 01, 2011 to December 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7155","May 01, 2012","7155","Official statistics","Prescribing"
"711","NHS Dental Statistics for England - 2011-12, Third quarterly report","Please note that figure 3b in the report shows data relating to adult patients seen as a percentage of the population, rather than total patients seen as a percentage of the population as stated in the chart title. \n &#160; \n This quarterly report brings together information on NHS dental activity in England up to Q3 2011/12 and information on the number of patients seen by an NHS dentist, up to the fourth quarter of 2011/12.","April 01, 2011 to March 31, 2012","http://content.digital.nhs.uk/searchcatalogue?productid=7159","May 17, 2012","7159","Official statistics","Primary care services"
"712","Statistics on Women&#39;s Smoking Status at Time of Delivery - England, Quarter 4, 2011-12","This report presents the latest results and trends from the women&#39;s smoking status at time of delivery (SATOD) data collection in England. It includes new figures for the fourth quarter of 2011/12 and for 2011/12 as a whole, along with revisions to previous quarters. \n The results provide a measure of the prevalence of smoking among pregnant women at Strategic Health Authority (SHA) and Primary Care Trust (PCT) levels.This supplements the national information available from the quinquennial Infant Feeding Survey (IFS). \n Babies from deprived backgrounds are more likely to be born to mothers who smoke, and to have much greater exposure to secondhand smoke in childhood. Smoking remains one of the few modifiable risk factors in pregnancy. It can cause a range of serious health problems, including lower birth weight, pre-term birth, placental complications and perinatal mortality. \n Reports in the series prior to 2011/12 quarter 3 are available on the  Department of Health Website \n","April 01, 2011 to March 31, 2012","http://content.digital.nhs.uk/searchcatalogue?productid=7168","May 24, 2012","7168","Official statistics","Public health"
"713","Statistics on Alcohol: England, 2012 ","This statistical report acts as a reference point for health issues relating to alcohol use and misuse, providing information obtained from a number of sources in a user-friendly format. It covers topics such as drinking habits and behaviours among adults (aged 16 and over) and school children (aged 11 to 15), drinking-related ill health and mortality, affordability of alcohol, alcohol related admissions to hospital and alcohol-related costs. The report contains previously published information and also includes additional new analyses.  \n The new analyses are mainly obtained from the Health and Social Care Information Centre&#39;s (HSCIC) Hospital Episodes Statistics (HES) system, and Prescribing data. The report also include up to date information on the latest alcohol related government policies and targets and contains links to further sources of useful information.  \n How alcohol-related admissions are calculated:  \n Estimates of the number of alcohol-related admissions to hospital are calculated using a method developed by the North West Public Health Observatory (NWPHO) which takes information on patients&#39; characteristics and diagnoses from the Hospital Episode Statistics (HES), together with estimates for the proportion of cases of a particular disease or injury that are caused by alcohol consumption (known as alcohol-attributable fractions (AAFs)).  \n Within this publication, two main measures are presented:  \n \n a broad measure , which is derived by summing the alcohol attributable fraction associated with each admission based on the diagnosis most strongly associated with alcohol out of all diagnoses (both primary and secondary)  \n a narrow measure , which is constructed in a similar way but counts only the fraction associated with the diagnosis in the primary position. ","April 01, 2011 to March 31, 2012","http://content.digital.nhs.uk/searchcatalogue?productid=7172","May 31, 2012","7172","Official statistics","Public health"
"714","Provisional Accident and Emergency Quality Indicators - England, Experimental statistics by provider for December 2011","\n In April 2011 a new set of clinical quality indicators was introduced to replace the previous four hour waiting time standard, and measure the quality of care delivered in A&amp;E departments in England. Further details on the background and management of the quality indicators are available from the Department of Health (DH) website. This is the ninth publication of data on the Accident and Emergency (A&amp;E) clinical quality indicators, drawn from A&amp;E data within provisional Hospital Episode Statistics (HES). These data relate to A&amp;E attendances in December 2011 and draw on 1.36 million detailed records of attendances at major A&amp;E departments, single speciality A&amp;E departments (e.g. dental A&amp;Es), minor injury units and walk-in centres in England.  \n This report sets out data coverage, data quality and performance information for the following five A&amp;E indicators: \n \n Left department before being seen for treatment rate  \n Re-attendance rate  \n Time to initial assessment  \n Time to treatment  \n Total time in A&amp;E  \n Publishing these data will help share information on the quality of care of A&amp;E services to stimulate the discussion and debate between patients, clinicians, providers and commissioners, which is needed in a culture of continuous improvement. These A&amp;E HES data are published as experimental statistics to note the shortfalls in the quality and coverage of records submitted via the A&amp;E commissioning data set. The data used in these reports are sourced from Provisional A&amp;E HES data, and as such these data may differ to information extracted directly from Secondary Uses Service (SUS) data, or data extracted directly from local patient administration systems. Provisional HES data may be revised throughout the year (for example, activity data for April 2011 may differ depending on whether they are extracted in August 2011, or later in the year). Indicator data published for earlier months have not been revised using updated HES data extracted in subsequent months.  \n The data presented here represent the output of the existing A&amp;E Commissioning Dataset (CDS V6 Type 010). It must be recognised that these data will not exactly match the data definitions for the A&amp;E clinical quality indicators set out in the guidance document A&amp;E clinical quality indicators: Implementation guidance and data definitions (external link). The DH is currently working with Information Standards Board to amend the existing CDS Type 10 Accident and Emergency to collect the data required to monitor the A&amp;E indicators.  \n A&amp;E HES data are collected and published by the NHS Information Centre for Health and Social Care. The data in this report are secondary analyses of HES data produced by the Urgent &amp; Emergency Care team, Department of Health.  \n A&amp;E HES data are published as experimental statistics to note the known shortfalls in the quality of some A&amp;E HES data elements. The published information sets out where data quality for the indicators may be improved by, for example, reducing the number of unknown values (e.g. unknown times to initial assessment) and default values (e.g. the number of attendances that are automatically given a time to initial assessment of midnight 00:00).  \n The quality and coverage of A&amp;E HES data have considerably improved over the years, and the Department and the NHS Information Centre are working with NHS Performance and Information directors to further improve the data.  \n Note: \n This information is secondary analysis of HES data that have been produced by the Urgent &amp; Emergency Care team in the Department of Health.  \n Questions should be forward to the mailbox of the Urgent &amp; Emergency Care team at the Department of Health  urgent&amp;emergencycare@dh.gsi.gov.uk  . \n Revisions Policy: Please note, Provisional HES data may be revised throughout the year (for example data will differ depending on the time at which they were extracted). Indicator data published for earlier months will not be revised using updated HES data extracted in subsequent months.","December 01, 2011 to December 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7195","April 27, 2012","7195","Official statistics","Hospital care"
"715","Adult Critical Care Data in England, April 10 to March 11, Experimental Statistics","\n This is the third publication of adult critical care data, which forms part of Hospital Episode Statistics (HES) and is collected as part of the Critical Care Minimum Data Set (CCMDS). It covers critical care periods ending between 1 April 2010 and 31 March 2011, and draws on records submitted by providers as an attachment to the inpatient record.  \n During the period covered by this report, not all NHS trusts with critical care capacity have completed data submissions, so data quality and coverage is variable in some cases. Publishing the HES critical care data as experimental statistics allows for discussion, analysis and promotion of the dataset, which in turn should lead to improved coverage and data quality.","April 01, 2010 to March 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7199","May 16, 2012","7199","Official statistics","Hospital care"
"716","Neighbourhood Statistics, Mental Health, Adults accessing NHS specialist mental health services - England, Mental Health Minimum Data Set (MHMDS) annual returns 2010-11","\n This is the third year that information on people accessing the full range of mental health services Mental Health data have been published under the Neighbourhood Statistics umbrella and will be of use to researchers, health economists and members of the public.  \n This data set is produced from the Mental Health Minimum Data Set (MHMDS) and complements the 2011 official statistics publication Mental Health Bulletin -  Fifth report from Mental Health Minimum Data Set (MHMDS) annual returns, 2011  published on 25 November 2011. It presents information at Government Office Region and Local Authority level, rather than by Primary Care Trust as provided in the November publication.  \n These Neighbourhood Statistics figures show mental health data in their wider socio-economic context which will be helpful for anyone who needs to investigate the links between socio-economic factors and mental health.","April 01, 2010 to March 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7208","March 06, 2012","7208","Official statistics","Mental health"
"717","National Diabetes Audit - 2006-07, Audit analysis: Paediatric Units ","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The majority of participating paediatric diabetes units do not have a clinical IT system that allows them to submit information directly to the audit. Participation is dependent on staff manually inputting data into a spreadsheet or database. This means that not all paediatric units have been able to submit full care process information for the audit year. Analysis on care offered, control of HbA1c and cholesterol is based on those children and young people for whom information has been submitted to the audit. Low results may be due to absence of data, rather than a reflection of practice. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2006 to March 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=7209","December 01, 2008","7209","Audit","Illnesses and conditions"
"718","National Diabetes Audit - 2006-07, Audit analysis: Secondary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2006 to March 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=7210","December 01, 2008","7210","Audit","Illnesses and conditions"
"719","National Diabetes Audit - 2007-08, Audit analysis: Primary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.&#160;&#160;","January 01, 2007 to March 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=7220","July 01, 2009","7220","Audit","Illnesses and conditions"
"720","National Diabetes Audit - 2007-08, Audit analysis: Paediatric Units ","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The majority of participating paediatric diabetes units do not have a clinical IT system that allows them to submit information directly to the audit. Participation is dependent on staff manually inputting data into a spreadsheet or database. This means that not all paediatric units have been able to submit full care process information for the audit year. Analysis on care offered, control of HbA1c and cholesterol is based on those children and young people for whom information has been submitted to the audit. Low results may be due to absence of data, rather than a reflection of practice. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2007 to March 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=7221","June 30, 2009","7221","Audit","Illnesses and conditions"
"721","National Diabetes Audit - 2007-08, Audit analysis: Secondary Care ","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2007 to March 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=7222","July 01, 2009","7222","Audit","Illnesses and conditions"
"722","National Diabetes Audit - 2008-09, Audit analysis: Primary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.&#160;&#160;&#160;&#160;&#160;","January 01, 2008 to March 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=7223","June 09, 2010","7223","Audit","Illnesses and conditions"
"723","National Diabetes Audit - 2008-09, Audit analysis: Paediatric Units","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The majority of participating paediatric diabetes units do not have a clinical IT system that allows them to submit information directly to the audit. Participation is dependent on staff manually inputting data into a spreadsheet or database. This means that not all paediatric units have been able to submit full care process information for the audit year. Analysis on care offered, control of HbA1c and cholesterol is based on those children and young people for whom information has been submitted to the audit. Low results may be due to absence of data, rather than a reflection of practice. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2008 to March 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=7224","June 09, 2010","7224","Audit","Illnesses and conditions"
"724","National Diabetes Audit - 2008-09, Audit analysis: Secondary Care ","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2008 to March 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=7225","June 09, 2010","7225","Audit","Illnesses and conditions"
"725","National Diabetes Audit - 2009-10, Audit analysis: Primary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=7226","June 29, 2011","7226","Audit","Illnesses and conditions"
"726","National Diabetes Audit - 2009-10, Audit analysis: Paediatric Units ","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The majority of participating paediatric diabetes units do not have a clinical IT system that allows them to submit information directly to the audit. Participation is dependent on staff manually inputting data into a spreadsheet or database. This means that not all paediatric units have been able to submit full care process information for the audit year. Analysis on care offered, control of HbA1c and cholesterol is based on those children and young people for whom information has been submitted to the audit. Low results may be due to absence of data, rather than a reflection of practice. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here using the paediatric data tables. ","January 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=7227","June 29, 2011","7227","Audit","Illnesses and conditions"
"727","National Diabetes Audit - 2009-10, Audit analysis: Secondary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales. \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here.","January 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=7228","June 29, 2011","7228","Audit","Illnesses and conditions"
"728","National Diabetes Audit - 2010-11, Audit analysis: Primary Care","The National Diabetes Audit (NDA) is the largest annual clinical audit in the world, integrating data from both primary and secondary care sources, making it the most comprehensive audit of its kind. \n It provides an infrastructure for the collation, analysis, benchmarking and feedback of local clinical data to support effective clinical audit across the NHS. \n The NDA aims to improve the quality of patient care by enabling NHS organisations to: \n \n compare their outcomes of care with similar NHS organisations \n identify and share best practice \n identify gaps or shortfalls in commissioning services \n assess local practice against NSF for diabetes and NICE guidelines and drive service improvement \n provide a more comprehensive picture of diabetes care and outcomes in England and Wales \n Through participation in the audit, local services are able to benchmark their performance and identify where they are performing well, and where there is potential to improve the quality of treatment and care they provide. On a national level, wide participation in the audit also provides an overview of the quality of care being provided in England and Wales.  \n \n The National Diabetes Audit analysis is published in the annual reports. You can have easy access to the analysis here&#160; ","January 01, 2010 to March 31, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=7229","June 14, 2012","7229","Audit|0/Official statistics","Illnesses and conditions"
